,0
1862,-609
1863,-164
1864,-677
1865,-135
1866,-745
1867,-100
1868,-814
1869,-67
1870,-869
1871,-45
1872,-924
1873,-18
1874,-981
1875,11
1876,-1026
1877,27
1878,-1071
1879,41
1880,-1112
1881,41
1882,-1144
1883,43
1884,-1181
1885,42
1886,-1210
1887,26
1888,-1234
1889,29
1890,-1261
1891,20
1892,-1275
1893,-2
1894,-1290
1895,8
1896,-1299
1897,6
1898,-1301
1899,-10
1900,-1301
1901,4
1902,-1290
1903,8
1904,-1264
1905,6
1906,-1231
1907,21
1908,-1185
1909,30
1910,-1122
1911,42
1912,-1054
1913,66
1914,-977
1915,89
1916,-890
1917,115
1918,-805
1919,156
1920,-712
1921,190
1922,-619
1923,233
1924,-536
1925,275
1926,-450
1927,310
1928,-371
1929,352
1930,-304
1931,383
1932,-238
1933,405
1934,-190
1935,423
1936,-143
1937,421
1938,-93
1939,408
1940,-53
1941,397
1942,-4
1943,362
1944,51
1945,327
1946,101
1947,291
1948,163
1949,240
1950,236
1951,201
1952,314
1953,164
1954,407
1955,124
1956,505
1957,102
1958,609
1959,86
1960,722
1961,70
1962,829
1963,74
1964,939
1965,78
1966,1050
1967,87
1968,1142
1969,111
1970,1233
1971,128
1972,1315
1973,152
1974,1383
1975,177
1976,1447
1977,202
1978,1499
1979,226
1980,1535
1981,248
1982,1563
1983,262
1984,1584
1985,281
1986,1588
1987,291
1988,1589
1989,295
1990,1577
1991,309
1992,1558
1993,309
1994,1537
1995,305
1996,1501
1997,307
1998,1457
1999,293
2000,1406
2001,273
2002,1342
2003,255
2004,1271
2005,220
2006,1194
2007,182
2008,1108
2009,139
2010,1015
2011,82
2012,915
2013,22
2014,810
2015,-46
2016,705
2017,-123
2018,596
2019,-186
2020,485
2021,-255
2022,384
2023,-323
2024,287
2025,-372
2026,202
2027,-423
2028,135
2029,-453
2030,74
2031,-469
2032,32
2033,-485
2034,8
2035,-473
2036,-14
2037,-449
2038,-13
2039,-426
2040,0
2041,-386
2042,8
2043,-337
2044,24
2045,-303
2046,40
2047,-254
2048,49
2049,-216
2050,57
2051,-190
2052,52
2053,-154
2054,39
2055,-139
2056,23
2057,-134
2058,-10
2059,-127
2060,-53
2061,-136
2062,-95
2063,-150
2064,-146
2065,-160
2066,-201
2067,-181
2068,-257
2069,-196
2070,-315
2071,-201
2072,-369
2073,-212
2074,-421
2075,-208
2076,-476
2077,-197
2078,-527
2079,-187
2080,-577
2081,-159
2082,-625
2083,-137
2084,-665
2085,-103
2086,-707
2087,-66
2088,-747
2089,-35
2090,-777
2091,8
2092,-817
2093,40
2094,-854
2095,58
2096,-881
2097,72
2098,-917
2099,89
2100,-948
2101,93
2102,-973
2103,94
2104,-1002
2105,96
2106,-1021
2107,81
2108,-1046
2109,76
2110,-1074
2111,69
2112,-1091
2113,49
2114,-1110
2115,45
2116,-1126
2117,35
2118,-1127
2119,23
2120,-1126
2121,15
2122,-1117
2123,-4
2124,-1092
2125,-13
2126,-1064
2127,-15
2128,-1022
2129,-21
2130,-961
2131,-20
2132,-899
2133,-4
2134,-821
2135,13
2136,-733
2137,40
2138,-647
2139,66
2140,-550
2141,89
2142,-456
2143,129
2144,-371
2145,161
2146,-284
2147,194
2148,-205
2149,231
2150,-141
2151,253
2152,-80
2153,262
2154,-26
2155,273
2156,20
2157,265
2158,61
2159,245
2160,91
2161,230
2162,128
2163,193
2164,169
2165,159
2166,208
2167,125
2168,265
2169,82
2170,333
2171,55
2172,405
2173,36
2174,498
2175,9
2176,593
2177,-5
2178,688
2179,-11
2180,799
2181,-2
2182,905
2183,29
2184,1008
2185,51
2186,1117
2187,76
2188,1215
2189,117
2190,1306
2191,146
2192,1391
2193,185
2194,1459
2195,232
2196,1520
2197,264
2198,1574
2199,306
2200,1611
2201,346
2202,1646
2203,378
2204,1669
2205,414
2206,1679
2207,450
2208,1689
2209,481
2210,1685
2211,510
2212,1673
2213,535
2214,1656
2215,552
2216,1621
2217,577
2218,1580
2219,582
2220,1532
2221,581
2222,1468
2223,577
2224,1402
2225,547
2226,1320
2227,519
2228,1221
2229,482
2230,1124
2231,423
2232,1017
2233,359
2234,893
2235,295
2236,772
2237,210
2238,647
2239,133
2240,519
2241,49
2242,405
2243,-43
2244,290
2245,-107
2246,190
2247,-170
2248,110
2249,-220
2250,33
2251,-248
2252,-24
2253,-270
2254,-61
2255,-279
2256,-88
2257,-272
2258,-97
2259,-263
2260,-96
2261,-242
2262,-94
2263,-214
2264,-83
2265,-195
2266,-74
2267,-167
2268,-70
2269,-144
2270,-64
2271,-128
2272,-70
2273,-113
2274,-86
2275,-119
2276,-102
2277,-130
2278,-130
2279,-142
2280,-163
2281,-175
2282,-196
2283,-198
2284,-237
2285,-229
2286,-280
2287,-271
2288,-326
2289,-306
2290,-378
2291,-330
2292,-424
2293,-363
2294,-472
2295,-383
2296,-524
2297,-383
2298,-566
2299,-399
2300,-610
2301,-381
2302,-657
2303,-365
2304,-698
2305,-354
2306,-743
2307,-322
2308,-780
2309,-300
2310,-815
2311,-276
2312,-857
2313,-252
2314,-882
2315,-230
2316,-906
2317,-214
2318,-941
2319,-203
2320,-964
2321,-198
2322,-987
2323,-190
2324,-1020
2325,-191
2326,-1046
2327,-203
2328,-1074
2329,-202
2330,-1107
2331,-210
2332,-1131
2333,-223
2334,-1157
2335,-223
2336,-1182
2337,-235
2338,-1196
2339,-245
2340,-1209
2341,-247
2342,-1212
2343,-259
2344,-1201
2345,-260
2346,-1181
